S.No,State,State ID,District ,District ID,Headquarters ,Population (2011) ,Area (km²) ,Density (/km²)
656,Andaman and Nicobar (AN),0,Nicobar,00,Car Nicobar,"36,819","1,841",20
635,Andaman and Nicobar (AN),0,North and Middle Andaman,01,Mayabunder,"105,539","3,227",32
602,Andaman and Nicobar (AN),0,South Andaman,02,Port Blair,"237,586","3,181",80
51,Andhra Pradesh (AP),1,Anantapur,00,Anantapur,"4,083,315","19,130",213
47,Andhra Pradesh (AP),1,Chittoor,01,Chittoor,"4,170,468","15,152",275
17,Andhra Pradesh (AP),1,East Godavari,02,Kakinada,"5,151,549","10,807",477
21,Andhra Pradesh (AP),1,Guntur,03,Guntur,"4,889,230","11,391",429
132,Andhra Pradesh (AP),1,Kadapa,04,Kadapa,"2,884,524","15,359",188
33,Andhra Pradesh (AP),1,Krishna,05,Machilipatnam,"4,529,009","8,727",519
53,Andhra Pradesh (AP),1,Kurnool,06,Kurnool,"4,046,601","17,658",229
97,Andhra Pradesh (AP),1,Prakasam,07,Ongole,"3,392,764","17,626",192
125,Andhra Pradesh (AP),1,Sri Potti Sriramulu Nellore,08,Nellore,"2,966,082","13,076",227
148,Andhra Pradesh (AP),1,Srikakulam,09,Srikakulam,"2,699,471","5,837",462
44,Andhra Pradesh (AP),1,Visakhapatnam,10,Visakhapatnam,"4,288,113","11,161",384
194,Andhra Pradesh (AP),1,Vizianagaram,11,Vizianagaram,"2,342,868","6,539",358
62,Andhra Pradesh (AP),1,West Godavari,12,Eluru,"3,934,782","7,742",508
659,Arunachal Pradesh (AR),2,Anjaw,00,Hawai,"21,089","6,190",3
616,Arunachal Pradesh (AR),2,Changlang,01,Changlang,"147,951","4,662",32
660,Arunachal Pradesh (AR),2,Dibang Valley,02,Anini,"7,948","9,129",1
644,Arunachal Pradesh (AR),2,East Kameng,03,Seppa,"78,413","4,134",19
636,Arunachal Pradesh (AR),2,East Siang,04,Pasighat,"99,019","3,603",27
637,Arunachal Pradesh (AR),2,Kurung Kumey,05,Koloriang,"89,717","6,040",15
619,Arunachal Pradesh (AR),2,Lohit,06,Tezu,"145,538","2,402",28
666,Arunachal Pradesh (AR),2,Longding,07,Longding,,,
650,Arunachal Pradesh (AR),2,Lower Dibang Valley,08,Anini,"53,986","3,900",14
643,Arunachal Pradesh (AR),2,Lower Subansiri,09,Ziro,"82,839","3,508",24
611,Arunachal Pradesh (AR),2,Papum Pare,10,Yupia,"176,385","2,875",51
653,Arunachal Pradesh (AR),2,Tawang,11,Tawang Town,"49,950","2,085",23
633,Arunachal Pradesh (AR),2,Tirap,12,Khonsa,"111,997","2,362",47
657,Arunachal Pradesh (AR),2,Upper Siang,13,Yingkiong,"35,289","6,188",5
641,Arunachal Pradesh (AR),2,Upper Subansiri,14,Daporijo,"83,205","7,032",12
638,Arunachal Pradesh (AR),2,West Kameng,15,Bomdila,"87,013","7,422",12
632,Arunachal Pradesh (AR),2,West Siang,16,Along,"112,272","8,325",23
465,Assam (AS),3,Baksa,00,Mushalpur,"953,773","2,008",475
294,Assam (AS),3,Barpeta,01,Barpeta,"1,693,190","3,245",632
503,Assam (AS),3,Bongaigaon,02,Bongaigaon,"732,639","1,724",425
280,Assam (AS),3,Cachar,03,Silchar,"1,736,319","3,786",459
557,Assam (AS),3,Chirang,04,Kajalgaon,"481,818","1,975",244
471,Assam (AS),3,Darrang,05,Mangaldoi,"908,090","1,849",491
510,Assam (AS),3,Dhemaji,06,Dhemaji,"688,077","3,237",213
243,Assam (AS),3,Dhubri,07,Dhubri,"1,948,632","2,838",683
369,Assam (AS),3,Dibrugarh,08,Dibrugarh,"1,327,748","3,381",393
606,Assam (AS),3,Dima Hasao,09,Haflong,"213,529","4,888",44
449,Assam (AS),3,Goalpara,10,Goalpara,"1,008,959","1,824",553
